Season,Tm,Lg,G,W,L,W/L%,MOV,SOS,SRS,Pace,ORtg,DRtg,eFG%,TOV%,ORB%,FT/FGA,eFG%,TOV%,ORB%,FT/FGA
1989-90,POR*,NBA,82,59,23,0.72,6.32,0.16,6.48,102.3,110.5,104.4,0.486,13.4,36.5,0.269,0.479,15.2,29.2,0.265
1989-90,SAC,NBA,82,23,59,0.28,-5.06,0.65,-4.41,96.7,104.8,110,0.484,13.5,27.3,0.215,0.484,12.5,32.7,0.255
1989-90,SAS*,NBA,82,56,26,0.683,3.49,0.09,3.58,98.5,107.7,104.2,0.488,14.7,34.2,0.27,0.477,15,31.3,0.235
1989-90,SEA,NBA,82,41,41,0.5,1.04,0.36,1.4,95.3,110.9,109.8,0.494,14,37.5,0.222,0.499,14.3,30.9,0.297
1989-90,UTA*,NBA,82,55,27,0.671,4.79,0.03,4.82,96.1,110.3,105.4,0.522,15.5,30.1,0.284,0.468,13.4,30.5,0.268
1989-90,WSB,NBA,82,31,51,0.378,-2.16,-0.27,-2.43,99.4,107.5,109.7,0.477,12.4,32.4,0.211,0.484,12.4,32.8,0.249
1990-91,ATL*,NBA,82,43,39,0.524,0.77,-0.05,0.72,98.6,110.9,110.1,0.482,12.9,33.1,0.282,0.509,13.7,30.9,0.22
1990-91,BOS*,NBA,82,56,26,0.683,5.82,-0.6,5.22,98.5,112.6,106.7,0.52,14,33,0.228,0.465,11.7,30.7,0.217
1990-91,CHH,NBA,82,26,56,0.317,-5.24,0.3,-4.95,97.3,105,110.4,0.477,13.9,29,0.245,0.504,15,34.3,0.272
1990-91,CHI*,NBA,82,61,21,0.744,9.1,-0.53,8.57,95.6,114.6,105.2,0.521,12.8,34.7,0.225,0.488,15.3,31.2,0.226
1990-91,CLE,NBA,82,33,49,0.402,-2.46,0.14,-2.33,95.1,106.1,108.7,0.487,14.1,29.7,0.243,0.497,13.3,32,0.206
1990-91,DAL,NBA,82,28,54,0.341,-4.57,0.31,-4.27,94.2,105.5,110.3,0.485,13.3,28.3,0.219,0.495,12.6,32.1,0.245
1990-91,DEN,NBA,82,20,62,0.244,-10.91,0.6,-10.31,113.7,105.2,114.7,0.457,11.9,33.1,0.195,0.524,14.1,32.9,0.299
1990-91,DET*,NBA,82,50,32,0.61,3.27,-0.19,3.08,91.9,108.2,104.6,0.474,13.1,34.7,0.245,0.464,12.8,29,0.248
1990-91,GSW*,NBA,82,44,38,0.537,1.63,0.09,1.72,103.6,111.9,110.3,0.504,13.7,31,0.294,0.497,15.2,35.9,0.289
1990-91,HOU*,NBA,82,52,30,0.634,3.5,-0.23,3.27,98.5,107.4,103.9,0.489,14.5,34.4,0.224,0.469,14.7,33.1,0.22
1990-91,IND*,NBA,82,41,41,0.5,-0.39,0.02,-0.37,99.4,111.7,112.1,0.511,14.4,30.6,0.287,0.503,13.1,33.6,0.254
1990-91,LAC,NBA,82,31,51,0.378,-3.45,0.29,-3.16,99.9,103,106.5,0.471,14.7,33.3,0.218,0.481,13.7,30.8,0.266
1990-91,LAL*,NBA,82,58,24,0.707,6.74,-0.01,6.73,94.1,112.1,105,0.5,13.2,33,0.261,0.474,12.8,31.7,0.176
1990-91,MIA,NBA,82,24,58,0.293,-5.99,0.08,-5.91,99.3,102,108.1,0.469,16,34.3,0.231,0.491,15.3,33.8,0.286
1990-91,MIL*,NBA,82,48,34,0.585,2.48,-0.15,2.33,96.1,109.7,107.2,0.499,14.3,31.8,0.258,0.5,16.4,33.9,0.259
1990-91,MIN,NBA,82,29,53,0.354,-3.93,0.18,-3.75,92.3,106.7,110.9,0.456,11.5,34.9,0.21,0.502,13.8,34.1,0.248
1990-91,NJN,NBA,82,26,56,0.317,-4.51,-0.02,-4.53,99.3,102.9,107.4,0.455,14.4,35.7,0.222,0.478,14.9,35.4,0.267
